Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
20202016,2022:03:08,화,2:43:46 PM,version=0.1,Test,0,3,10,5,0.003148374,178.7946,0.003523685,178.7946,0.003785029,178.7946,0.06659316,2.702043,0.09051263,2.702043
20202023,2022:03:08,화,3:09:33 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20202023,2022:03:08,화,3:16:29 PM,version=0.1,Test,0,3,10,5,0.003382853,179.5175,0.003405175,179.5175,0.003392284,179.5175,0.06765369,1.960245,0.0858649,1.960245
20202023,2022:03:08,화,3:17:12 PM,version=0.1,Test,0,3,10,5,0.003845637,178.7913,0.003759198,178.7913,0.004103225,178.7913,0.0725859,1.896407,0.08023336,1.896407
20202023,2022:03:08,화,3:18:26 PM,version=0.1,Test,0,3,10,5,0.004515369,178.3949,0.005717032,178.3949,0.003547896,178.3949,0.07560034,0.6775311,0.07797096,0.6775311
20202016,2022:03:09,수,10:39:07 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20202016,2022:03:09,수,10:46:28 AM,version=0.1,Test,0,3,10,5,0.007053764,176.5769,0.007804332,176.5769,0.007411331,176.5769,0.07559542,4.1511,0.07791471,4.1511
20202016,2022:03:09,수,10:47:34 AM,version=0.1,Test,0,3,10,5,0.005918727,176.591,0.00541251,176.591,0.007026885,176.591,0.06881445,4.261678,0.08090609,4.261678
20202016,2022:03:09,수,10:48:28 AM,version=0.1,Test,0,3,10,5,0.01031789,178.5813,0.009933595,178.5813,0.0108362,178.5813,0.06936712,2.585583,0.08335181,2.585583
20202016,2022:03:09,수,10:49:20 AM,version=0.1,Test,0,3,10,5,0.001770615,176.1615,0.00190001,176.1615,0.003750878,176.1615,0.06996745,4.7241,0.08203605,4.7241
20182032,2022:03:09,수,12:07:48 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20182032,2022:03:09,수,12:17:10 PM,version=0.1,Test,0,3,10,5,0.003072709,177.1427,0.005877254,177.1427,0.002984764,177.1427,0.07087798,4.1861,0.09332584,4.1861
20182032,2022:03:09,수,12:17:56 PM,version=0.1,Test,0,3,10,5,0.003091309,178.1715,0.002586782,178.1715,0.003868583,178.1715,0.06400679,3.236643,0.09017885,3.236643
